frame,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y,centroid_x,centroid_y,hip_center_x,hip_center_y,stance_width,dx,dy,distance,speed,speed_px_per_sec,centroid_x_smooth,centroid_y_smooth,rolling_speed_mean,rolling_speed_std,speed_smoothed,acceleration,cumulative_distance,path_length,straight_distance,path_efficiency,direction_code,direction_BACKWARD,direction_FORWARD,direction_LEFT,direction_RIGHT,direction_STILL,direction_change,trajectory_angle,movement_range_x,movement_range_y,court_zone,stability_index,recovery_distance,recovery_time
0,0.2554289400577545,0.7074282765388489,0.3134923279285431,0.7033450603485107,0.2610130906105041,0.7740589380264282,0.2974086105823517,0.7730036973953247,0.2427319437265396,0.8018723130226135,0.3309278786182403,0.7896605730056763,0.2250600457191467,0.8485488295555115,0.3355563879013061,0.8513268232345581,0.2232722789049148,0.8596478700637817,0.3547549247741699,0.8627700209617615,0.28396464288234713,0.7971662402153015,0.2792108505964279,0.7735313177108765,0.11053125749993836,0.0,0.0,0.0,0.0,0.0,0.2838835577170054,0.7969336370627085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0.0,0.0,0.0,6,1.0,0.20705831971070032,0
1,0.2554293870925903,0.7067683935165405,0.3121258318424225,0.7029477953910828,0.261597603559494,0.7731271386146545,0.2976496517658233,0.7714583277702332,0.2427241206169128,0.8020725846290588,0.3309169411659241,0.7912404537200928,0.2247675210237503,0.8498402833938599,0.3353588581085205,0.85175621509552,0.223401665687561,0.8562638759613037,0.3545299768447876,0.8627403974533081,0.28385015577077866,0.7968215465545654,0.2796236276626587,0.7722927331924438,0.11060793205047591,-0.00011448711156847313,-0.000344693660736084,0.0003632093314700692,0.0003632093314700692,25.940237177261114,0.28505675047636037,0.7967116758227348,0.0001816046657350346,0.0002568277812727184,0.0001816046657350346,0.0003632093314700692,0.0003632093314700692,0.0003632093314700692,0.0003632093314700692,1.0,2,1,0,0,0,0,1,-108.37347484168372,0.00011448711156847313,0.000344693660736084,6,0.999675415551385,0.20687618551590473,0
2,0.255404382944107,0.7067081928253174,0.3109517097473144,0.7027621865272522,0.2620128393173218,0.7725458145141602,0.297728419303894,0.770588755607605,0.2426527291536331,0.8035638332366943,0.3308972120285034,0.7913075089454651,0.2247119098901748,0.850549042224884,0.3350229859352112,0.8517729043960571,0.223439410328865,0.8555928468704224,0.3555371463298797,0.862740159034729,0.2838358744978905,0.7968131244182587,0.2798706293106079,0.7715672850608826,0.11031786499397016,-1.428127288816139e-05,-8.422136306696082e-06,1.6579720603034957e-05,1.6579720603034957e-05,1.7334185653308736,0.2860309559106827,0.7964923763275146,0.0001265963506910347,0.0002050804690570837,0.0001265963506910347,-0.00034662961086703425,0.00037978905207310413,0.00037978905207310413,0.00037586176043424456,0.9896592816000825,0,0,0,0,0,1,1,-149.4707490344376,0.00012876838445663452,0.00035311579704278007,6,0.9997280058170045,0.2067681193736534,0
3,0.2607409954071045,0.7052551507949829,0.3155454397201538,0.702392041683197,0.2638655006885528,0.7714066505432129,0.2978672683238983,0.7690820693969727,0.2434423416852951,0.8039369583129883,0.336603045463562,0.7910465598106384,0.2246399968862533,0.85057133436203,0.3472884595394134,0.8516978621482849,0.2245050072669983,0.8545446395874023,0.3712652325630188,0.8605246543884277,0.28857632875442507,0.7960457921028137,0.2808663845062256,0.7702443599700928,0.12265363613051515,0.004740454256534576,-0.0007673323154450129,0.004802156332380589,0.004802156332380589,548.3776141812274,0.28844785928726197,0.795976984500885,0.0012954863461134233,0.0023437691762315934,0.0012954863461134233,0.0047855766117775545,0.005181945384453693,0.005181945384453693,0.004745845610162718,0.9158424603240101,4,0,0,0,1,0,1,-9.194655978798714,0.004740454256534576,0.001120448112487793,6,0.9971874149009471,0.20604328563396482,1
4,0.2628199458122253,0.704821765422821,0.3171895742416382,0.7020097970962524,0.2652093768119812,0.7702832818031311,0.2981165051460266,0.768196702003479,0.2438425421714782,0.8039384484291077,0.3380291759967804,0.790856659412384,0.2245548516511917,0.8510459661483765,0.3496680855751037,0.8516532778739929,0.2251799255609512,0.853393018245697,0.3746677935123443,0.8599528670310974,0.2899277776479721,0.7956151783466339,0.2816629409790039,0.769239991903305,0.12511470789012616,0.001351448893547047,-0.00043061375617980957,0.001418394274833631,0.001418394274833631,158.17301610482463,0.29109184443950653,0.7954356169700623,0.001320067931857465,0.0020305077530948876,0.001320067931857465,-0.0033837620575469583,0.006600339659287325,0.006600339659287325,0.006161555741323779,0.9335210094307597,4,0,0,0,1,0,0,-17.673500796889925,0.006091903150081623,0.0015510618686676025,6,0.9963944283133429,0.20546043458853716,2
5,0.2736190557479858,0.7002696394920349,0.3259225487709045,0.7006749510765076,0.2706407010555267,0.7694504857063293,0.3010113537311554,0.7682796716690063,0.2473533153533935,0.8039668798446655,0.3473946154117584,0.7902845740318298,0.2245933264493942,0.8510019183158875,0.3599067330360412,0.8511071801185608,0.2251383513212204,0.8539141416549683,0.3849115967750549,0.8569433689117432,0.2960491597652435,0.7945892810821533,0.28582602739334106,0.7688650786876678,0.13531344752880384,0.006121382117271368,-0.0010258972644805464,0.006206753114384232,0.006206753114384232,708.3333710262078,0.29504838407039646,0.7945231759548188,0.002561418554734311,0.002780476704871772,0.002561418554734311,0.0047883588395506,0.012807092773671556,0.012807092773671556,0.012356223802882609,0.9647953693506592,4,0,0,0,1,0,0,-9.513922843106112,0.012213285267352991,0.002232265472412065,6,0.9940442420729806,0.2014599199797432,3
6,0.2751317620277405,0.6996164917945862,0.3275454640388489,0.6998649835586548,0.2722344100475311,0.7678071856498718,0.3015228807926178,0.7674496173858643,0.2494751363992691,0.8038080930709839,0.348294049501419,0.7902405858039856,0.2245911955833435,0.8509585857391357,0.3607456088066101,0.8509693741798401,0.225093275308609,0.854324996471405,0.3860670328140259,0.8561071753501892,0.2970700815320015,0.7941147089004517,0.28687864542007446,0.767628401517868,0.1361544136506874,0.0010209217667579984,-0.00047457218170166016,0.0011258330291323605,0.0011258330291323605,121.56826881087773,0.2982142561674118,0.7936149811744689,0.0027139432942667697,0.00264748304322072,0.0027139432942667697,-0.005080920085251872,0.013932925802803918,0.013932925802803918,0.013456015961842612,0.9657710198338004,4,0,0,0,1,0,0,-24.93120845584763,0.01323420703411099,0.002698415517807029,6,0.9934598664056603,0.20068934749687267,0
7,0.2888037264347076,0.6942487359046936,0.3384650647640228,0.6955731511116028,0.2798492610454559,0.7643148899078369,0.3091036379337311,0.7653726935386658,0.2538395524024963,0.8037800192832947,0.358030617237091,0.7884909510612488,0.2245881259441375,0.8508867621421814,0.3664060235023498,0.850242018699646,0.2254487723112106,0.8545090556144714,0.3916509449481964,0.8550909161567688,0.30361857265233994,0.7922509193420411,0.2944764494895935,0.7648437917232513,0.14181936314177374,0.006548491120338451,-0.0018637895584106001,0.0068085569301572215,0.0068085569301572215,764.0181088967366,0.3025754737854004,0.7924467980861664,0.004072338736177607,0.0026599137933510327,0.004072338736177607,0.005682723901024861,0.02074148273296114,0.02074148273296114,0.020259253063499627,0.9767504726797964,4,0,0,0,1,0,0,-15.887073315762382,0.015042243897914864,0.0037948727607726163,6,0.9925145563064033,0.19390622186805428,1
8,0.2894518673419952,0.693339467048645,0.3399540781974792,0.6937456727027893,0.2807327806949615,0.7618590593338013,0.3088143467903137,0.763608455657959,0.2557949423789978,0.8035104274749756,0.358771800994873,0.7880464196205139,0.2245408445596695,0.8508452773094177,0.3672696053981781,0.850216269493103,0.225584015250206,0.8546527624130249,0.3931426107883453,0.8552243709564209,0.30440568923950195,0.7915048182010651,0.29477356374263763,0.7627337574958801,0.14273014685527782,0.0007871165871620178,-0.0007461011409759521,0.0010845365066936199,0.0010845365066936199,102.7632079808648,0.30596285372972487,0.7913894712924957,0.003328814771040213,0.002912505560395986,0.003328814771040213,-0.005724020423463602,0.021826019239654756,0.021826019239654756,0.021210565183385204,0.9718018183017377,4,0,0,0,1,0,0,-43.467633408624316,0.014477911591529835,0.004110360145568759,6,0.9923992123150909,0.19412379811183342,0
9,0.302772045135498,0.6890191435813904,0.3514032065868377,0.6898394227027893,0.2933135330677032,0.7589101791381836,0.3211974799633026,0.7609596848487854,0.2633850872516632,0.8034919500350952,0.3667370975017547,0.7881039381027222,0.2280264347791671,0.8473594784736633,0.3694036304950714,0.8503038883209229,0.2260583192110061,0.8544745445251465,0.395041823387146,0.8552803993225098,0.311733865737915,0.7897742629051209,0.30725550651550293,0.7599349319934845,0.1414078534517859,0.007328176498413053,-0.001730555295944236,0.007529740528345849,0.007529740528345849,851.6498012100002,0.3109019705653191,0.7901475393772126,0.004551084021742657,0.0031803739834080167,0.004551084021742657,0.006445204021652229,0.029355759768000606,0.029355759768000606,0.028736232643762093,0.9788958920111537,4,0,0,0,1,0,0,-13.287024490988331,0.01568470597267152,0.0048150181770324485,6,0.9917552898137955,0.1827998395028458,1
